INDEX,TITLE,PLAY_SECONDS,PLAY_TIME,DURATION,LAST_TIME,URL
121,Vue2.0-05.ref - 了解this.$nextTick的应用场景,858,14m18s,19h47m44s,40h1m52s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=121
122,Vue2.0-06.ref - 演示updated为啥不行,151,2m31s,19h50m15s,39h59m21s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=122
123,Vue2.0-07.数组中的方法 - some循环,444,7m24s,19h57m39s,39h51m57s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=123
124,Vue2.0-08.数组中的方法 - every循环,227,3m47s,20h1m26s,39h48m10s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=124
125,Vue2.0-09.数组中的方法 - reduce的基本用法,688,11m28s,20h12m54s,39h36m42s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=125
126,Vue2.0-10.数组中的方法 - reduce的简化写法,71,1m11s,20h14m5s,39h35m31s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=126
127,Vue2.0-11.购物车案例 - 导入、注册、使用Header组件,568,9m28s,20h23m33s,39h26m3s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=127
128,Vue2.0-12.购物车案例 - 基于axios请求列表数据,580,9m40s,20h33m13s,39h16m23s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=128
129,Vue2.0-13.购物车案例 - 请求回来的数据转存到data中,216,3m36s,20h36m49s,39h12m47s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=129
130,Vue2.0-14.购物车案例 - 循环渲染Goods组件,273,4m33s,20h41m22s,39h8m14s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=130
131,Vue2.0-15.购物车案例 - 为Goods组件封装title和pic属性,410,6m50s,20h48m12s,39h1m24s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=131
132,Vue2.0-16.购物车案例 - 为Goods组件封装price和state属性,461,7m41s,20h55m53s,38h53m43s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=132
133,Vue2.0-17.购物车案例 - 分析封装props两种方案的优缺点对比,704,11m44s,21h7m37s,38h41m59s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=133
134,Vue2.0-18.购物车案例 - 分析如何修改商品的勾选状态,1101,18m21s,21h25m58s,38h23m38s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=134
135,Vue2.0-19.购物车案例 - 自定义state-change事件,597,9m57s,21h35m55s,38h13m41s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=135
136,Vue2.0-20.购物车案例 - 修改对应商品的勾选状态,297,4m57s,21h40m52s,38h8m44s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=136
137,Vue2.0-21.购物车案例 - 定义fullState计算属性,559,9m19s,21h50m11s,37h59m25s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=137
